Date,Plant,Production,Raw Material,Sales
1/1/2013,Frankfurt,106029.417,108190.841,0.045723638
1/2/2013,Frankfurt,103316.634,104943.204,0.045612853
1/3/2013,Frankfurt,98978.516,99935.301,0.045102525
1/4/2013,Frankfurt,99827.998,101288.582,0.045145027
1/5/2013,Frankfurt,103167.708,104265.225,0.0457282
1/6/2013,Frankfurt,100088.566,101502.971,0.045449352
1/7/2013,Frankfurt,108088.244,108273.775,0.045239688
1/8/2013,Frankfurt,104871.483,106499.302,0.04562494
1/9/2013,Frankfurt,105178.413,106222.201,0.045636
1/10/2013,Frankfurt,102924.771,104492.328,0.045125617
1/11/2013,Frankfurt,102497.384,103455.986,0.045216085
1/12/2013,Frankfurt,103228.647,103572.19,0.045042128
1/13/2013,Frankfurt,106776.347,108620.557,0.045278811
1/14/2013,Frankfurt,107436.24,108304.435,0.045414665
1/15/2013,Frankfurt,103553.329,105479.907,0.04508947
1/16/2013,Frankfurt,106944.281,108114.37,0.045482184
1/17/2013,Frankfurt,100256.944,101760.412,0.044940098
1/18/2013,Frankfurt,102585.515,103211.313,0.045582109
1/19/2013,Frankfurt,105018.469,106724.46,0.045721209
1/20/2013,Frankfurt,107069.827,108919.565,0.044971712
1/21/2013,Frankfurt,107924.247,108627.483,0.04486475
1/22/2013,Frankfurt,108823.146,109470.996,0.045317345
1/23/2013,Frankfurt,104106.265,105219.776,0.045132221
1/24/2013,Frankfurt,100514.703,101085.656,0.04563465
1/25/2013,Frankfurt,106969.311,108270.225,0.045690125
1/26/2013,Frankfurt,103466.886,105120.128,0.045123728
1/27/2013,Frankfurt,106134.469,107753.129,0.045172503
1/28/2013,Frankfurt,108938.346,110900.918,0.044875119
1/29/2013,Frankfurt,100858.992,102413.144,0.045013024
1/30/2013,Frankfurt,102263.057,103509.581,0.045527836
1/31/2013,Frankfurt,101642.361,103796.387,0.045463392
2/1/2013,Frankfurt,105358.499,106391.932,0.049323009
2/2/2013,Frankfurt,104895.654,106819.673,0.049651474
2/3/2013,Frankfurt,100345.798,100638.469,0.04951534
2/4/2013,Frankfurt,99175.098,99458.125,0.049594901
2/5/2013,Frankfurt,101573.174,101806.755,0.048846927
2/6/2013,Frankfurt,99034.607,100640.8,0.049399843
2/7/2013,Frankfurt,108652.453,109134.48,0.049485552
2/8/2013,Frankfurt,109074.722,109951.558,0.04917345
2/9/2013,Frankfurt,104547.062,104949.198,0.049534745
2/10/2013,Frankfurt,108699.788,110652.571,0.048938609
2/11/2013,Frankfurt,104243.661,105667.903,0.049162883
2/12/2013,Frankfurt,108920.21,111237.596,0.049498962
2/13/2013,Frankfurt,108150.526,109050.523,0.048903965
2/14/2013,Frankfurt,104478.403,106642.212,0.049425899
2/15/2013,Frankfurt,106558.334,107555.693,0.049362204
2/16/2013,Frankfurt,104303.386,105106.06,0.049434037
2/17/2013,Frankfurt,107316.935,108990.51,0.049008604
2/18/2013,Frankfurt,106346.288,107738.437,0.048922212
2/19/2013,Frankfurt,101846.881,102116.427,0.049424402
2/20/2013,Frankfurt,103354.289,104172.879,0.049268582
2/21/2013,Frankfurt,101558.408,102265.012,0.049594672
2/22/2013,Frankfurt,108071.293,109820.573,0.048850041
2/23/2013,Frankfurt,101165.001,103143.179,0.049038829
2/24/2013,Frankfurt,107190.956,108022.638,0.049389916
2/25/2013,Frankfurt,102831.821,104773.853,0.049522948
2/26/2013,Frankfurt,104112.531,104995.98,0.049446052
2/27/2013,Frankfurt,108985.103,110670.782,0.049592309
2/28/2013,Frankfurt,103566.948,104415.577,0.048975494
3/1/2013,Frankfurt,102486.784,103436.23,0.054701702
3/2/2013,Frankfurt,106152.711,106338.955,0.054465779
3/3/2013,Frankfurt,105578.517,106617.651,0.054994227
3/4/2013,Frankfurt,99929.143,101150.268,0.05507676
3/5/2013,Frankfurt,103872.026,104104.08,0.054881967
3/6/2013,Frankfurt,100392.355,101006.324,0.05483851
3/7/2013,Frankfurt,106281.712,107350.094,0.054470334
3/8/2013,Frankfurt,104361.48,105505.865,0.054819439
3/9/2013,Frankfurt,99206.008,99469.99,0.054877996
3/10/2013,Frankfurt,102809.313,103795.209,0.05486359
3/11/2013,Frankfurt,101496.281,101626.074,0.05514259
3/12/2013,Frankfurt,100350.475,100679.474,0.055047601
3/13/2013,Frankfurt,105059.141,105898.195,0.055251461
3/14/2013,Frankfurt,105303.25,107177.558,0.055195403
3/15/2013,Frankfurt,105997.557,106136.352,0.055138124
3/16/2013,Frankfurt,104697.567,106672.827,0.055301704
3/17/2013,Frankfurt,105339.66,106808.829,0.054422862
3/18/2013,Frankfurt,101983.647,103766.174,0.05431648
3/19/2013,Frankfurt,106154.066,106719.803,0.055325782
3/20/2013,Frankfurt,107545.332,108971.344,0.054680591
3/21/2013,Frankfurt,103157.787,103683.272,0.0548082
3/22/2013,Frankfurt,100184.742,101612.355,0.054933204
3/23/2013,Frankfurt,100738.336,102003.355,0.054930559
3/24/2013,Frankfurt,103163.048,103651.319,0.055315191
3/25/2013,Frankfurt,108342.101,108565.313,0.054888604
3/26/2013,Frankfurt,107291.13,108581.511,0.054321052
3/27/2013,Frankfurt,107313.119,108329.839,0.054273163
3/28/2013,Frankfurt,102602.639,103121.389,0.054542958
3/29/2013,Frankfurt,106132.483,108026.756,0.055060347
3/30/2013,Frankfurt,105607.009,107355.546,0.055025292
3/31/2013,Frankfurt,101835.556,103212.773,0.055262259
4/1/2013,Frankfurt,102865.424,103781.46,0.060395122
4/2/2013,Frankfurt,106913.295,109120.758,0.060749384
4/3/2013,Frankfurt,105723.344,107258.244,0.05967465
4/4/2013,Frankfurt,104660.208,104953.807,0.06034749
4/5/2013,Frankfurt,108411.254,110116.517,0.060765556
4/6/2013,Frankfurt,100608.144,101571.565,0.060462756
4/7/2013,Frankfurt,102341.072,104212.616,0.059984518
4/8/2013,Frankfurt,105069.446,107147.805,0.060611639
4/9/2013,Frankfurt,99291.423,101051.428,0.060267516
4/10/2013,Frankfurt,103800.039,105721.255,0.060686405
4/11/2013,Frankfurt,108377.864,108502.67,0.060533311
4/12/2013,Frankfurt,102373.912,103310.397,0.059826085
4/13/2013,Frankfurt,106571.341,107017.581,0.060850644
4/14/2013,Frankfurt,105381.03,106280.941,0.060226615
4/15/2013,Frankfurt,105076.089,106402.361,0.060557042
4/16/2013,Frankfurt,109134.026,110443.556,0.059807531
4/17/2013,Frankfurt,100946.188,101825.75,0.060134093
4/18/2013,Frankfurt,105623.49,106001.181,0.059749207
4/19/2013,Frankfurt,99638.522,100944.141,0.060829551
4/20/2013,Frankfurt,103379.9,103997.942,0.060032821
4/21/2013,Frankfurt,107193.837,107917.563,0.060353214
4/22/2013,Frankfurt,105558.037,107731.183,0.059800631
4/23/2013,Frankfurt,99862.686,100724.962,0.060730966
4/24/2013,Frankfurt,101029.403,102137.868,0.060164434
4/25/2013,Frankfurt,103070.982,104747.286,0.060371815
4/26/2013,Frankfurt,102793.792,104454.877,0.060123908
4/27/2013,Frankfurt,107800.816,109372.819,0.060109154
4/28/2013,Frankfurt,108282.228,109094.006,0.060723734
4/29/2013,Frankfurt,104693.095,105511.557,0.060278129
4/30/2013,Frankfurt,103036.28,103371.551,0.060693748
5/1/2013,Frankfurt,99624.201,100096.433,0.064297952
5/2/2013,Frankfurt,104650.757,105849.939,0.064076798
5/3/2013,Frankfurt,105292.134,105538.201,0.063842538
5/4/2013,Frankfurt,99139.792,100909.201,0.064575381
5/5/2013,Frankfurt,103333.667,103735.586,0.064906832
5/6/2013,Frankfurt,107314.172,108223.356,0.064768131
5/7/2013,Frankfurt,99080.367,100120.704,0.064507958
5/8/2013,Frankfurt,107190.079,109060.59,0.064234422
5/9/2013,Frankfurt,108900.512,110875.05,0.064452973
5/10/2013,Frankfurt,107009.017,108734.449,0.064916393
5/11/2013,Frankfurt,105953.396,106801.253,0.063814645
5/12/2013,Frankfurt,99586.058,100784.505,0.063654889
5/13/2013,Frankfurt,100674.699,102396.469,0.064844389
5/14/2013,Frankfurt,102572.653,102805.924,0.064927364
5/15/2013,Frankfurt,105475.339,106483.225,0.063681495
5/16/2013,Frankfurt,103080.713,104822.312,0.064739292
5/17/2013,Frankfurt,104680.393,104887.246,0.064570579
5/18/2013,Frankfurt,107933.267,109173.992,0.064783894
5/19/2013,Frankfurt,99135.677,99364.759,0.064493886
5/20/2013,Frankfurt,99338.053,100857.554,0.063897487
5/21/2013,Frankfurt,104556.38,106465.9,0.064763889
5/22/2013,Frankfurt,107247.832,108350.992,0.063643702
5/23/2013,Frankfurt,106619.608,106908.514,0.063946745
5/24/2013,Frankfurt,102335.001,104187.471,0.063996223
5/25/2013,Frankfurt,105607.251,106707.373,0.064827647
5/26/2013,Frankfurt,102650.048,102807.793,0.064234875
5/27/2013,Frankfurt,106424.524,108543.754,0.064455243
