Date,Plant,Production,Raw Material,Sales
1/1/2013,Gary,40323.821,44690,0.266065089
1/2/2013,Gary,35736.229,39450,0.262583855
1/3/2013,Gary,38802.442,42960,0
1/4/2013,Gary,40223.575,44500,0.264270668
1/5/2013,Gary,39418.541,43620,0
1/6/2013,Gary,40773.991,45190,0.262760183
1/7/2013,Gary,40338.89,44710,0
1/8/2013,Gary,36897.283,40850,0
1/9/2013,Gary,40540.414,44750,0
1/10/2013,Gary,36799.683,40730,0.267358056
1/11/2013,Gary,37878.722,41990,0
1/12/2013,Gary,36214.074,40140,0
1/13/2013,Gary,36083.764,39870,0
1/14/2013,Gary,40692.452,44980,0.262940287
1/15/2013,Gary,37902.09,41940,0
1/16/2013,Gary,39541.93,43660,0.264564818
1/17/2013,Gary,37823.249,41890,0
1/18/2013,Gary,37126.289,41150,0.26694924
1/19/2013,Gary,36871.596,40910,0
1/20/2013,Gary,35801.246,39660,0.267051055
1/21/2013,Gary,39997.788,44190,0
1/22/2013,Gary,35623.909,39400,0.266273419
1/23/2013,Gary,39832.848,44060,0
1/24/2013,Gary,41075.075,45370,0
1/25/2013,Gary,39995.331,44200,0
1/26/2013,Gary,39844.868,44190,0
1/27/2013,Gary,36813.453,40710,0
1/28/2013,Gary,37004.471,40960,0.266673333
1/29/2013,Gary,40000.882,44200,0
1/30/2013,Gary,39930.618,44310,0
1/31/2013,Gary,38106.063,42260,0.262203473
2/1/2013,Gary,38372.881,42550,0
2/2/2013,Gary,39999.89,44180,0
2/3/2013,Gary,38740.715,42860,0.266144602
2/4/2013,Gary,35959.757,39810,0
2/5/2013,Gary,37444.118,41550,0.262622437
2/6/2013,Gary,40315.156,44600,0
2/7/2013,Gary,36718.87,40620,0
2/8/2013,Gary,38904.513,43060,0
2/9/2013,Gary,36030.669,39960,0
2/10/2013,Gary,37936.687,42020,0
2/11/2013,Gary,40657.374,45010,0
2/12/2013,Gary,38966.432,43210,0.266247414
