Date,Plant,Production,Raw Material,Sales
1/1/2013,Mexico,45508.469,48250,0
1/2/2013,Mexico,48526.165,51460,0.07
1/3/2013,Mexico,47136.297,49760,0.07
1/4/2013,Mexico,48495.783,51310,0
1/5/2013,Mexico,45360.287,47580,0.07
1/6/2013,Mexico,49444.524,51880,0
1/7/2013,Mexico,49288.925,52260,0.07
1/8/2013,Mexico,48871.258,51180,0.07
1/9/2013,Mexico,47516.039,49970,0
1/10/2013,Mexico,44904.153,47680,0
1/11/2013,Mexico,48319.599,50920,0.07
1/12/2013,Mexico,49000.604,52170,0.07
1/13/2013,Mexico,45551.711,48070,0
1/14/2013,Mexico,46494.111,49450,0
1/15/2013,Mexico,45695.338,47850,0
1/16/2013,Mexico,49079.783,51470,0
1/17/2013,Mexico,49068.875,51460,0
1/18/2013,Mexico,45111.623,47480,0.07
1/19/2013,Mexico,44981.754,47400,0
1/20/2013,Mexico,45699.333,48180,0.07
1/21/2013,Mexico,46823.696,49760,0.07
1/22/2013,Mexico,47970.061,50360,0
1/23/2013,Mexico,48731.178,51710,0.07
1/24/2013,Mexico,45931.217,48750,0
1/25/2013,Mexico,47473.439,49990,0
1/26/2013,Mexico,47964.173,51040,0
1/27/2013,Mexico,49149.858,52340,0.07
1/28/2013,Mexico,46472.958,49080,0.07
1/29/2013,Mexico,47668.653,50050,0
1/30/2013,Mexico,46506.082,49450,0
1/31/2013,Mexico,45228.372,47620,0
2/1/2013,Mexico,46937.652,49110,0.07
2/2/2013,Mexico,47421.094,50560,0.07
2/3/2013,Mexico,48367.293,50700,0
2/4/2013,Mexico,47632.04,50240,0
2/5/2013,Mexico,45750.443,48050,0.07
2/6/2013,Mexico,48972.435,52080,0
2/7/2013,Mexico,45074.495,47600,0.07
2/8/2013,Mexico,49026.264,51990,0
2/9/2013,Mexico,46702.856,49670,0
2/10/2013,Mexico,45907.969,48640,0.07
2/11/2013,Mexico,48529.563,50780,0
2/12/2013,Mexico,48604.722,51620,0.07
2/13/2013,Mexico,49276.443,52490,0
2/14/2013,Mexico,49467.271,52300,0.07
2/15/2013,Mexico,48711.882,51890,0
2/16/2013,Mexico,49037.352,52230,0
2/17/2013,Mexico,47999.545,50750,0.07
2/18/2013,Mexico,47335.773,50140,0
2/19/2013,Mexico,46760.082,49780,0
2/20/2013,Mexico,48222.176,51220,0
2/21/2013,Mexico,44811.882,47710,0.07
2/22/2013,Mexico,49299.471,52050,0
2/23/2013,Mexico,49179.802,52070,0.07
2/24/2013,Mexico,45909.275,48430,0.07
2/25/2013,Mexico,49032.061,52120,0
2/26/2013,Mexico,45214.955,48180,0
2/27/2013,Mexico,46167.329,48760,0.07
2/28/2013,Mexico,45635.043,47990,0.07
3/1/2013,Mexico,48912.797,52030,0.07
3/2/2013,Mexico,47262.847,50070,0
3/3/2013,Mexico,45812.735,48380,0.07
3/4/2013,Mexico,46730.95,49670,0.07
3/5/2013,Mexico,47752.466,49980,0.07
3/6/2013,Mexico,47163.048,49420,0.07
3/7/2013,Mexico,48308.54,51220,0
3/8/2013,Mexico,49335.875,52310,0.07
3/9/2013,Mexico,47880.525,50980,0.07
3/10/2013,Mexico,46275.885,48430,0.07
3/11/2013,Mexico,45641.039,48470,0
3/12/2013,Mexico,48860.338,51680,0.07
3/13/2013,Mexico,47515.171,50360,0.07
3/14/2013,Mexico,44804.656,47510,0
3/15/2013,Mexico,48914.049,51690,0
3/16/2013,Mexico,45974.866,48650,0.07
3/17/2013,Mexico,47288.614,49740,0.07
3/18/2013,Mexico,48757.876,51740,0
3/19/2013,Mexico,46889.299,49770,0
3/20/2013,Mexico,46480.774,49390,0.07
3/21/2013,Mexico,47113.17,50090,0.07
3/22/2013,Mexico,46986.644,49630,0.07
3/23/2013,Mexico,45700.958,48050,0.07
3/24/2013,Mexico,49038.613,51950,0.07
3/25/2013,Mexico,45399.726,48390,0.07
3/26/2013,Mexico,48900.018,51130,0.07
3/27/2013,Mexico,47629.021,50710,0.07
3/28/2013,Mexico,44770.272,47370,0
3/29/2013,Mexico,48008.998,50310,0
3/30/2013,Mexico,48511.077,51130,0
3/31/2013,Mexico,48992.818,52130,0
4/1/2013,Mexico,48211.267,51260,0.07
4/2/2013,Mexico,47610.182,50560,0.07
4/3/2013,Mexico,46610.347,49400,0
4/4/2013,Mexico,47041.807,50130,0
4/5/2013,Mexico,47166.046,49380,0
4/6/2013,Mexico,46757.934,49150,0
4/7/2013,Mexico,47139.649,50090,0.07
4/8/2013,Mexico,48302.965,50610,0
4/9/2013,Mexico,47991.524,50620,0
4/10/2013,Mexico,48069.82,50710,0
4/11/2013,Mexico,48701.806,51900,0
4/12/2013,Mexico,45233.841,48030,0
4/13/2013,Mexico,48325.928,51250,0.07
4/14/2013,Mexico,47513.174,49850,0.07
4/15/2013,Mexico,48746.056,51810,0
4/16/2013,Mexico,47727.681,50090,0
4/17/2013,Mexico,45179.171,48090,0.07
4/18/2013,Mexico,45456.695,48040,0
4/19/2013,Mexico,44909.607,47390,0.07
4/20/2013,Mexico,48446.785,51490,0.07
4/21/2013,Mexico,46051.765,48500,0.07
4/22/2013,Mexico,46726.771,49200,0
4/23/2013,Mexico,47334.465,49680,0
4/24/2013,Mexico,48957.439,52020,0.07
4/25/2013,Mexico,48304.358,50590,0.07
4/26/2013,Mexico,44805.937,47050,0.07
4/27/2013,Mexico,44965.981,47370,0.07
4/28/2013,Mexico,47851.337,50810,0
4/29/2013,Mexico,47323.359,50440,0
