Date,Plant,Production,Raw Material,Sales
1/1/2013,Sunchem,10394.448,10590.236,0
1/2/2013,Sunchem,10445.129,10675.548,0
1/3/2013,Sunchem,11207.464,11403.635,0
1/4/2013,Sunchem,10776.411,10998.297,0
1/5/2013,Sunchem,10144.642,10352.942,0
1/6/2013,Sunchem,11526.652,11773.628,0
1/7/2013,Sunchem,10958.353,11173.047,0
1/8/2013,Sunchem,11727.821,11979.498,0
1/9/2013,Sunchem,11442.27,11655.687,0
1/10/2013,Sunchem,11541.08,11788.929,0
1/11/2013,Sunchem,11052.377,11273.635,0
1/12/2013,Sunchem,11378.547,11592.166,0
1/13/2013,Sunchem,11738.585,11977.103,0
1/14/2013,Sunchem,10418.784,10618.837,0
1/15/2013,Sunchem,11518.861,11752.829,0
1/16/2013,Sunchem,11355.945,11609.18,0
1/17/2013,Sunchem,10161.488,10364.366,0
1/18/2013,Sunchem,10669.784,10854.201,0
1/19/2013,Sunchem,11299.583,11547.598,0.324929144
1/20/2013,Sunchem,10996.183,11233.743,0
1/21/2013,Sunchem,11393.267,11597.622,0
1/22/2013,Sunchem,11279.998,11530.321,0
1/23/2013,Sunchem,10355.797,10558.793,0
1/24/2013,Sunchem,11439.261,11685.139,0
1/25/2013,Sunchem,11011.838,11203.466,0
1/26/2013,Sunchem,10753.605,10964.633,0
1/27/2013,Sunchem,11226.567,11431.333,0
1/28/2013,Sunchem,11366.746,11574.095,0
1/29/2013,Sunchem,11191.347,11440.257,0
1/30/2013,Sunchem,10167.825,10345.743,0
1/31/2013,Sunchem,10886.874,11126.321,0
2/1/2013,Sunchem,10260.101,10466.726,0
2/2/2013,Sunchem,10727.724,10920.097,0
2/3/2013,Sunchem,10874.73,11101.353,0
2/4/2013,Sunchem,10607.152,10818.483,0
2/5/2013,Sunchem,11334.417,11574.709,0.328973908
2/6/2013,Sunchem,11415.423,11653.964,0
2/7/2013,Sunchem,11085.459,11316.749,0
2/8/2013,Sunchem,10749.933,10944.673,0
2/9/2013,Sunchem,10857.916,11052.266,0
2/10/2013,Sunchem,10324.706,10512.749,0
2/11/2013,Sunchem,10153.633,10366.751,0
2/12/2013,Sunchem,11565.786,11804.67,0
2/13/2013,Sunchem,10152.413,10374.613,0
2/14/2013,Sunchem,10333.805,10532.215,0.323276378
2/15/2013,Sunchem,10322.753,10518.642,0
2/16/2013,Sunchem,11482.239,11709.858,0
2/17/2013,Sunchem,11594.262,11824.271,0
2/18/2013,Sunchem,10329.843,10534.61,0
2/19/2013,Sunchem,10453.617,10645.788,0
2/20/2013,Sunchem,10478.824,10688.252,0
2/21/2013,Sunchem,10584.972,10773.875,0.323822839
2/22/2013,Sunchem,11406.104,11614.883,0
2/23/2013,Sunchem,11173.405,11367.068,0
2/24/2013,Sunchem,10341.698,10557.321,0
2/25/2013,Sunchem,10337.793,10526.932,0
2/26/2013,Sunchem,11080.78,11273.007,0
2/27/2013,Sunchem,10411.122,10600.49,0
2/28/2013,Sunchem,10430.629,10621.687,0
3/1/2013,Sunchem,11394.462,11627.58,0
3/2/2013,Sunchem,10249.943,10427.775,0
3/3/2013,Sunchem,10770.219,10994.862,0
3/4/2013,Sunchem,11621.116,11848.751,0
3/5/2013,Sunchem,10727.724,10932.215,0
3/6/2013,Sunchem,11304.608,11542.952,0
3/7/2013,Sunchem,11743.628,12004.618,0
3/8/2013,Sunchem,11624.806,11884.056,0
3/9/2013,Sunchem,10843.807,11070.269,0
3/10/2013,Sunchem,10319.083,10535.75,0
3/11/2013,Sunchem,11355.677,11572.321,0
3/12/2013,Sunchem,10164.869,10341.507,0
3/13/2013,Sunchem,11420.737,11628.703,0
3/14/2013,Sunchem,11003.301,11231.056,0
3/15/2013,Sunchem,10848.516,11078.73,0
3/16/2013,Sunchem,11346.01,11572.256,0
3/17/2013,Sunchem,10767.82,11004.645,0
3/18/2013,Sunchem,11169.998,11399.5,0
3/19/2013,Sunchem,10595.447,10814.821,0
3/20/2013,Sunchem,10320.677,10549.975,0
3/21/2013,Sunchem,11772.377,11995.535,0
3/22/2013,Sunchem,10388.725,10584.639,0
3/23/2013,Sunchem,10871.644,11080.637,0
3/24/2013,Sunchem,11612.38,11866.042,0
3/25/2013,Sunchem,10835.735,11042.163,0
3/26/2013,Sunchem,11083.206,11283.998,0
3/27/2013,Sunchem,10969.111,11205.853,0
3/28/2013,Sunchem,11671.842,11911.871,0
3/29/2013,Sunchem,11337.526,11554.831,0
3/30/2013,Sunchem,11404.267,11656.611,0
3/31/2013,Sunchem,11456.667,11679.168,0
4/1/2013,Sunchem,11703.236,11948.402,0.325288344
4/2/2013,Sunchem,11266.939,11479.38,0.326191889
4/3/2013,Sunchem,11451.295,11689.322,0
4/4/2013,Sunchem,10434.877,10639.723,0
4/5/2013,Sunchem,10537.877,10730.373,0.326376256
4/6/2013,Sunchem,10789.275,10998.376,0
4/7/2013,Sunchem,10898.896,11104.082,0
4/8/2013,Sunchem,10601.006,10817.168,0
4/9/2013,Sunchem,10944.872,11173.631,0
